iter	MultiClass
0	1.751365624
1	1.71250708
2	1.681747345
3	1.651330122
4	1.62744774
5	1.603484128
6	1.582847958
7	1.562888277
8	1.542950088
9	1.524118328
10	1.505361147
11	1.489044336
12	1.473895973
13	1.459971852
14	1.446764618
15	1.434045887
16	1.421392335
17	1.40925241
18	1.394033252
19	1.382538703
20	1.370142915
21	1.358309138
22	1.34860221
23	1.34017565
24	1.329973913
25	1.320502638
26	1.312019756
27	1.302577063
28	1.293267989
29	1.284382856
30	1.276519897
31	1.267573324
32	1.259259437
33	1.250738939
34	1.243189202
35	1.235102099
36	1.228635237
37	1.22236101
38	1.21477059
39	1.207487419
40	1.201189017
41	1.193776846
42	1.1876921
43	1.181579077
44	1.175440409
45	1.170024492
46	1.165076867
47	1.158430276
48	1.152781229
49	1.146655363
50	1.140933062
51	1.135569102
52	1.129768591
53	1.124904274
54	1.120312192
55	1.114712289
56	1.110130047
57	1.105411866
58	1.100081637
59	1.094641586
60	1.089838668
61	1.084907786
62	1.080878387
63	1.076021728
64	1.071486764
65	1.067043742
66	1.062313326
67	1.057731164
68	1.053237966
69	1.049156634
70	1.044959859
71	1.040491536
72	1.036388043
73	1.032572634
74	1.029464118
75	1.025013944
76	1.020890942
77	1.017414785
78	1.013814316
79	1.010360727
80	1.006855562
81	1.003326414
82	0.9999418409
83	0.9964035489
84	0.992957276
85	0.9893399408
86	0.9863730496
87	0.982477044
88	0.9791983172
89	0.9756858457
90	0.9724427658
91	0.9693750683
92	0.9666380756
93	0.9640041007
94	0.9608339337
95	0.9576351935
96	0.9548809758
97	0.9518641916
98	0.9486681039
99	0.9455160135
100	0.9424177365
101	0.9391244233
102	0.936226309
103	0.9330635091
104	0.9294238638
105	0.92669106
106	0.9237799361
107	0.921325272
108	0.9188470562
109	0.9157865496
110	0.9129166939
111	0.9095519381
112	0.9068896809
113	0.9041152703
114	0.9012703937
115	0.8980250936
116	0.8954887945
117	0.8925388675
118	0.8893186405
119	0.8861898408
120	0.8834607881
121	0.8805670332
122	0.8773885457
123	0.8743652779
124	0.8715041853
125	0.8693471833
126	0.8668599976
127	0.8639761838
128	0.8614142644
129	0.8589472596
130	0.8571321309
131	0.8553348625
132	0.8526590085
133	0.850908985
134	0.8489737024
135	0.8464645811
136	0.8442041784
137	0.8422730802
138	0.8397682954
139	0.8373610402
140	0.8347390104
141	0.8321996636
142	0.8299130342
143	0.8277130404
144	0.8257322267
145	0.8233505672
146	0.8211077302
147	0.8186516071
148	0.8161866637
149	0.8136427533
150	0.8116767347
151	0.8089728471
152	0.8070771263
153	0.8050033294
154	0.803167857
155	0.8007746982
156	0.7989599248
157	0.7972723093
158	0.7946415091
159	0.7923941088
160	0.7902403027
161	0.7880573164
162	0.7862722523
163	0.784101388
164	0.7823610541
165	0.7803592247
166	0.7789983044
167	0.7770219983
168	0.7750927871
169	0.7732056521
170	0.7716146618
171	0.7695746896
172	0.7679334709
173	0.7660600865
174	0.7641449489
175	0.7627195952
176	0.7612809807
177	0.7596652186
178	0.757712396
179	0.7557651308
180	0.7541794928
181	0.7523189415
182	0.7505356453
183	0.7487455639
184	0.7465222802
185	0.7446747632
186	0.7427695775
187	0.7407368894
188	0.7389513493
189	0.7368010651
190	0.7353104635
191	0.7341254836
192	0.7323197704
193	0.730899622
194	0.7291368501
195	0.7276622336
196	0.7257801321
197	0.7242115267
198	0.7222947182
199	0.7208163615
200	0.7190139698
201	0.7172660308
202	0.7160482513
203	0.7145250166
204	0.713443294
205	0.7120244546
206	0.7103802285
207	0.7087769902
208	0.7072630414
209	0.7056241295
210	0.7040555897
211	0.702884064
212	0.7015968443
213	0.7001959918
214	0.6987267322
215	0.6968757271
216	0.6953866755
217	0.6941098936
218	0.6928030102
219	0.6912406918
220	0.6899740718
221	0.6890045057
222	0.6877566292
223	0.686487637
224	0.6851798993
225	0.6837462076
226	0.6826862662
227	0.6815797746
228	0.6799752135
229	0.6785349729
230	0.6770887476
231	0.6757025241
232	0.6746902467
233	0.6734154504
234	0.6720908375
235	0.6706547142
236	0.6695664819
237	0.6684255282
238	0.6673182811
239	0.6661220364
240	0.6652638464
241	0.6638466478
242	0.6622009026
243	0.6609159263
244	0.6597685631
245	0.6586786035
246	0.6574160088
247	0.65593462
248	0.6545162927
249	0.6533173937
250	0.6519436493
251	0.6507097726
252	0.6491816705
253	0.6477364595
254	0.6463961016
255	0.6449439886
256	0.6434992376
257	0.6426121136
258	0.6416180184
259	0.6405798637
260	0.6392568488
261	0.6381348473
262	0.6366994545
263	0.6356978818
264	0.6344948934
265	0.6336124909
266	0.6322150005
267	0.6312674567
268	0.62977224
269	0.6289439413
270	0.6278153454
271	0.6264419518
272	0.6251906777
273	0.6241640229
274	0.6232275389
275	0.6221815375
276	0.6209985765
277	0.6198546742
278	0.6185650438
279	0.6172240216
280	0.6159959504
281	0.6153346945
282	0.6143667355
283	0.6133305403
284	0.6125674907
285	0.6112556792
286	0.610612963
287	0.6095869346
288	0.6087720575
289	0.6078719092
290	0.6066002316
291	0.6057598738
292	0.6052181365
293	0.6044439976
294	0.6036246858
295	0.6026849375
296	0.6016291061
297	0.6008626528
298	0.6001290784
299	0.599073872
300	0.5977610913
301	0.5969783417
302	0.5959610995
303	0.5951418669
304	0.5940428063
305	0.5928449361
306	0.5919907475
307	0.5906582432
308	0.5896087202
309	0.5886295072
310	0.5876609653
311	0.586781059
312	0.5860152015
313	0.5850889074
314	0.5838917436
315	0.5831251945
316	0.581989205
317	0.58113505
318	0.580270911
319	0.5792125339
320	0.5783090889
321	0.5772206401
322	0.5765214503
323	0.5756725776
324	0.5748791342
325	0.5738891279
326	0.5730126067
327	0.5724068592
328	0.5713961557
329	0.5702362336
330	0.5693864275
331	0.5682400168
332	0.5671172032
333	0.566578258
334	0.565874263
335	0.5649489752
336	0.5639345411
337	0.5633095813
338	0.5621400391
339	0.5610643067
340	0.5604210145
341	0.5599474156
342	0.559018097
343	0.5581213138
344	0.5570498559
345	0.5557531045
346	0.5547370211
347	0.5538627985
348	0.5530031012
349	0.552271109
350	0.5516597561
351	0.5510987808
352	0.5502177119
353	0.5493102888
354	0.5484462108
355	0.5477299489
356	0.546911353
357	0.546132949
358	0.5454821934
359	0.5445184018
360	0.5436912242
361	0.5430084715
362	0.5419924991
363	0.5409764708
364	0.5398988197
365	0.539148524
366	0.5384660521
367	0.5373760776
368	0.5363048675
369	0.5352530703
370	0.5342649209
371	0.5334436802
372	0.5328093531
373	0.5320710608
374	0.5312763436
375	0.5306069406
376	0.5297036888
377	0.5289412514
378	0.5282123672
379	0.5275058704
380	0.5265540561
381	0.5254369483
382	0.5246963256
383	0.5235576118
384	0.5230049985
385	0.5222680706
386	0.521399673
387	0.5208408535
388	0.5197749262
389	0.5191098461
390	0.5182622463
391	0.5174483063
392	0.5168092283
393	0.5158208034
394	0.5150725328
395	0.5142118301
396	0.5135225786
397	0.5127628854
398	0.5121231867
399	0.5114300027
400	0.5109773439
401	0.5103467105
402	0.5096013879
403	0.5090712772
404	0.5084780283
405	0.5080804648
406	0.5075056674
407	0.506752981
408	0.5056970832
409	0.5048303996
410	0.5039052917
411	0.5033928789
412	0.5024472997
413	0.5018845727
414	0.5011449795
415	0.5005505986
416	0.4997437571
417	0.4990654111
418	0.4985858852
419	0.4980063026
420	0.4972549991
421	0.4968705846
422	0.4962611925
423	0.4957266136
424	0.4950031764
425	0.4947164092
426	0.4941462312
427	0.4934302283
428	0.4926567722
429	0.4920547874
430	0.4915600325
431	0.4911052692
432	0.4904427893
433	0.4896553682
434	0.4892381992
435	0.4882791583
436	0.4873925418
437	0.4868703201
438	0.4859628372
439	0.485306924
440	0.4847315205
441	0.484296062
442	0.4837451663
443	0.4832617203
444	0.4830534099
445	0.4822463676
446	0.4813433396
447	0.4805494463
448	0.4800509388
449	0.4794904744
450	0.4785631472
451	0.4780103529
452	0.4772475751
453	0.4764116095
454	0.4761130216
455	0.4757006661
456	0.4749322829
457	0.4742257795
458	0.4736180225
459	0.473008746
460	0.4724912536
461	0.4716665521
462	0.4712471256
463	0.4706282626
464	0.4700792921
465	0.4695101523
466	0.4689695508
467	0.4682963875
468	0.4674806333
469	0.4670355027
470	0.4664626254
471	0.4658325042
472	0.465429398
473	0.4649755457
474	0.4641348029
475	0.4633680363
476	0.4627279281
477	0.4619914567
478	0.4616506365
479	0.4608619692
480	0.4603111223
481	0.4596113442
482	0.4591303644
483	0.4584147201
484	0.4575792225
485	0.456878194
486	0.4561568706
487	0.4558159518
488	0.4553119611
489	0.4549609535
490	0.4541545349
491	0.4536161033
492	0.4528962346
493	0.4522855757
494	0.4518196675
495	0.451196076
496	0.450879202
497	0.4506003062
498	0.4502548079
499	0.4497271493
500	0.4493056724
501	0.4487840869
502	0.448300584
503	0.4478440481
504	0.4473537325
505	0.4468960113
506	0.446495095
507	0.4459731216
508	0.4454338768
509	0.4446681469
510	0.444240188
511	0.4433896085
512	0.4428850887
513	0.4424723482
514	0.4419636511
515	0.4413572527
516	0.4406914636
517	0.4402698473
518	0.4398126109
519	0.4391052708
520	0.4387308552
521	0.4382659598
522	0.4377036455
523	0.4371183542
524	0.43674056
525	0.4359749042
526	0.4351547365
527	0.4345529499
528	0.4340048197
529	0.4334350983
530	0.432895554
531	0.432494179
532	0.4319187904
533	0.4315426386
534	0.4311052091
535	0.4306506241
536	0.4298831687
537	0.4290112549
538	0.4283508522
539	0.4279012393
540	0.4271457951
541	0.4266282787
542	0.4260575048
543	0.4256007602
544	0.4252560621
545	0.4250023711
546	0.4245702048
547	0.4237789406
548	0.4231428682
549	0.422808477
550	0.4221422892
551	0.4215365138
552	0.4210363692
553	0.420437428
554	0.4200595272
555	0.4195695467
556	0.4190832765
557	0.4184344998
558	0.4180325029
559	0.4172026575
560	0.4168570634
561	0.4163276246
562	0.4160965492
563	0.4157732851
564	0.4152863293
565	0.414847371
566	0.4141962351
567	0.4138332673
568	0.413570806
569	0.413177739
570	0.4125935224
571	0.4120850376
572	0.4113699141
573	0.4107029157
574	0.4102774847
575	0.4098154904
576	0.4090582712
577	0.4085761557
578	0.4082741796
579	0.4076891036
580	0.4072556295
581	0.4065273411
582	0.4060514772
583	0.4053626839
584	0.4049020089
585	0.4045266009
586	0.4040345153
587	0.4033848657
588	0.4026049044
589	0.4019874644
590	0.4013804953
591	0.4009412297
592	0.4002703139
593	0.3995827115
594	0.3991243738
595	0.3986257843
596	0.3981389108
597	0.397914197
598	0.3972242263
599	0.3968518513
600	0.3962151955
601	0.395674404
602	0.3952606098
603	0.3947481222
604	0.3942753156
605	0.3937858283
606	0.3931734726
607	0.3924546977
608	0.3918073376
609	0.391425257
610	0.3909059536
611	0.3902551034
612	0.3898227861
613	0.3893820044
614	0.3889970183
615	0.38856902
616	0.3881261396
617	0.3877990619
618	0.3873622518
619	0.3869464528
620	0.3863892154
621	0.3860789437
622	0.3857494797
623	0.3852260197
624	0.3847960043
625	0.3845197522
626	0.3842532842
627	0.3839607166
628	0.3835182086
629	0.3831510014
630	0.3826157548
631	0.3822463809
632	0.3815961788
633	0.3813682787
634	0.3806692208
635	0.3801156976
636	0.3796982726
637	0.3790909389
638	0.378764831
639	0.3785350592
640	0.37812687
641	0.3777824305
642	0.3772329926
643	0.3768277708
644	0.3761313567
645	0.3756622921
646	0.3752049602
647	0.3746209199
648	0.3743022375
649	0.3740809931
650	0.3736656881
651	0.3731738505
652	0.3726567573
653	0.3721370431
654	0.3717641358
655	0.3712771225
656	0.3708515134
657	0.3703935487
658	0.3699086351
659	0.3694694321
660	0.3691046586
661	0.3689145184
662	0.3686213367
663	0.3682598811
664	0.367934934
665	0.3673343219
666	0.3670773072
667	0.3665278425
668	0.3659415482
669	0.3654948072
670	0.3648519183
671	0.36436946
672	0.364009702
673	0.3635193987
674	0.3629382065
675	0.3624189878
676	0.3618548461
677	0.3615489209
678	0.3612684552
679	0.3607876907
680	0.3603363325
681	0.3599557769
682	0.3594635033
683	0.3591021304
684	0.3586751461
685	0.3583063813
686	0.3580875137
687	0.3577024863
688	0.3570910473
689	0.356634975
690	0.3563242889
691	0.3559008211
692	0.3555732404
693	0.3548969375
694	0.3546385144
695	0.3542043381
696	0.3536900031
697	0.3532966618
698	0.3528656131
699	0.3526152307
700	0.3522011646
701	0.3518401711
702	0.3515309356
703	0.3513483013
704	0.3510980262
705	0.3509280431
706	0.3506110452
707	0.3502793157
708	0.3499808334
709	0.349773301
710	0.3494866918
711	0.3489594056
712	0.3483704845
713	0.3479753975
714	0.3475469561
715	0.3471399781
716	0.3465863813
717	0.3461573062
718	0.3457610327
719	0.3455710355
720	0.3453134819
721	0.3450774566
722	0.3445461264
723	0.3443128362
724	0.3440470609
725	0.3436879763
726	0.3433087062
727	0.3427990136
728	0.3424107278
729	0.3419795083
730	0.3416136634
