iter	Passed	Remaining
0	208	208745
1	348	174087
2	478	159151
3	620	154458
4	755	150407
5	893	147968
6	1027	145812
7	1159	143799
8	1297	142850
9	1431	141744
10	1574	141605
11	1709	140759
12	1842	139919
13	1974	139073
14	2104	138214
15	2232	137310
16	2365	136775
17	2493	136026
18	2631	135855
19	2763	135417
20	2896	135015
21	3035	134921
22	3160	134270
23	3291	133840
24	3430	133808
25	3557	133284
26	3685	132806
27	3826	132848
28	3959	132585
29	4086	132141
30	4225	132071
31	4356	131795
32	4487	131496
33	4615	131139
34	4748	130910
35	4882	130730
36	5013	130488
37	5138	130077
38	5273	129941
39	5397	129546
40	5527	129300
41	5673	129407
42	5805	129195
43	5937	129002
44	6057	128544
45	6188	128349
46	6316	128070
47	6452	127965
48	6576	127638
49	6710	127503
50	6842	127319
51	6983	127319
52	7124	127305
53	7257	127143
54	7393	127041
55	7532	126968
56	7664	126802
57	7804	126754
58	7935	126568
59	8073	126477
60	8211	126401
61	8352	126360
62	8487	126235
63	8612	125953
64	8748	125847
65	8888	125779
66	9022	125641
67	9148	125389
68	9281	125234
69	9420	125162
70	9559	125085
71	9691	124912
72	9823	124740
73	9958	124611
74	10090	124452
75	10228	124351
76	10364	124245
77	10498	124098
78	10627	123894
79	10751	123642
80	10887	123522
81	11017	123343
82	11154	123239
83	11281	123017
84	11419	122928
85	11550	122754
86	11674	122512
87	11809	122394
88	11948	122300
89	12070	122049
90	12197	121844
91	12322	121615
92	12464	121561
93	12617	121612
94	12860	122511
95	12992	122347
96	13121	122152
97	13252	121974
98	13388	121850
99	13522	121700
100	13652	121519
101	13786	121378
102	13927	121287
103	14051	121055
104	14178	120854
105	14302	120629
106	14440	120520
107	14562	120274
108	14695	120124
109	14827	119969
110	14955	119776
111	15093	119671
112	15217	119452
113	15341	119233
114	15476	119098
115	15609	118958
116	15733	118738
117	15864	118580
118	16009	118525
119	16149	118428
120	16283	118293
121	16426	118214
122	16559	118072
123	16695	117944
124	16838	117871
125	16963	117665
126	17092	117497
127	17222	117328
128	17341	117087
129	17467	116900
130	17592	116699
131	17707	116438
132	17839	116291
133	17961	116081
134	18080	115849
135	18204	115651
136	18330	115466
137	18456	115285
138	18597	115199
139	18729	115055
140	18865	114932
141	18992	114758
142	19116	114562
143	19244	114396
144	19369	114216
145	19495	114036
146	19629	113903
147	19757	113737
148	19881	113551
149	20018	113438
150	20144	113261
151	20284	113167
152	20407	112976
153	20530	112784
